ツイートID,名前,ユーザー名,投稿日,本文,返信数,リツイート数,いいね数
1166615713676767232,相田みつを　名言集,@aidamitsuobot,19 分,人間追いつめられてはじめて本音を吐く　その時どんな本音を吐くかそれが大事,,,
1166608204605927424,相田みつを　名言集,@aidamitsuobot,48 分,人の為と書いて偽りと読むんだよなー,,,3
1166600615583211521,相田みつを　名言集,@aidamitsuobot,1 時間,待ってもむだなことがある　待ってもだめなこともある　待ってもむなしきことばかり　それでもわたしはじっと待つ,,,2
1166593094990667776,相田みつを　名言集,@aidamitsuobot,2 時間,正直者は　ばかをみる　だからといってうそばかりも通らない　世の中単純じゃねんだよなあ,,,3
1166585515921072128,相田みつを　名言集,@aidamitsuobot,2 時間,いいことは　おかげさま　悪いことは　身から出たさび,,,3
1166570414962827264,相田みつを　名言集,@aidamitsuobot,3 時間,雨の日には雨の中を　風の日には風の中を,,,3
1166562913835991041,相田みつを　名言集,@aidamitsuobot,4 時間,なんでもいいんだともかく一生懸命やってみることだ　いのちがけでやってみることだそうすれば　人間の不完全さがよくわかる　自分の至らなさが骨身に沁みてよくわかる　頭でなくてからだ全体でよくわかる,,,3
1166555337098444803,相田みつを　名言集,@aidamitsuobot,4 時間,ぐちをこぼしてゆくんだね　なみだをながしてゆくんだね　だれにも気がねはいらぬから　えんりょしなくていいんですよ　ぐちをこぼしてゆくがいい　なみだをながしてゆくがいい,,1,2
1166547788882071552,相田みつを　名言集,@aidamitsuobot,5 時間,アノネ　ひとのことじゃないんだよ　じぶんのことだよ,,,1
1166540206058590208,相田みつを　名言集,@aidamitsuobot,5 時間,よくまわっているほどコマはしずかなんだな,,,2
1166532681716260865,相田みつを　名言集,@aidamitsuobot,6 時間,慣れるな　なれるな　どんなことにも慣れるな　慣れると感動がなくなるから,,,2
1166525106639630337,相田みつを　名言集,@aidamitsuobot,6 時間,うそはいわない　人にこびない　人のかげぐちはいわぬ　わたしにできぬことばかり,,1,3
1166517590547562496,相田みつを　名言集,@aidamitsuobot,7 時間,琴の糸　張りすぎてもダメ　たるんでもダメ　ちょうどいいあんばいのときに　ちょうどいいあんばいの音が出る,,,1
1166510007287836672,相田みつを　名言集,@aidamitsuobot,7 時間,なんにも欲しがらぬときが　一番強い,,,1
1166502484421951489,相田みつを　名言集,@aidamitsuobot,8 時間,アノネ　人間にとって一番大事なものはなにか？そこを原点として考えてゆけば,,,1
1166494906988154880,相田みつを　名言集,@aidamitsuobot,8 時間,いまはなんにも　いわないほうがいい　語らないほうがいい　つらいだろうが　黙っているほうがいい　いえばべんかいになるから,,,1
1166487389457408000,相田みつを　名言集,@aidamitsuobot,9 時間,枯れたすすきがまだ美しいのは　いのちいっぱい一生けんめいに生きてきたからだ,,,3
1166472276264378368,相田みつを　名言集,@aidamitsuobot,10 時間,金が人生のすべてではないが　有れば便利　無いと不便です　便利のほうがいいなあ,,,2
1166464700332138496,相田みつを　名言集,@aidamitsuobot,10 時間,おさいせん　百円玉一つ　ぽんと投げて　手を合わす　おねがいことの多いこと,,,1
1166457159187456000,相田みつを　名言集,@aidamitsuobot,11 時間,あなたにめぐり逢えて本当によかった　一人でもいい　心からそう言ってくれる人があれば,,,1
1166449604868493313,相田みつを　名言集,@aidamitsuobot,11 時間,けれど　けれどで　なにもしない,,,1
1166426968532770816,相田みつを　名言集,@aidamitsuobot,13 時間,外灯というのは　人のためにつけるんだよな　わたしはどれだけ　外灯をつけられるだろうか,,,1
1166419402041872384,相田みつを　名言集,@aidamitsuobot,13 時間,人の為と書いて偽りと読むんだよなー,,,1
1166404303533178880,相田みつを　名言集,@aidamitsuobot,14 時間,にんげんはねぇ　人から点数をつけられるために　この世に生まれてきたのでないんだよ　にんげんがさき点数はあと,,,1
1166396760639459328,相田みつを　名言集,@aidamitsuobot,15 時間,後じゃできねんだよなあ　今のことは　今しかできぬ,,,3
1166389205204815873,相田みつを　名言集,@aidamitsuobot,15 時間,一生勉強　一生青春,,,3
1166381683026718720,相田みつを　名言集,@aidamitsuobot,16 時間,おたがいになぁ　不完全　欠点だらけの　にんげんですがね,,,2
1166374102870872064,相田みつを　名言集,@aidamitsuobot,16 時間,めしを喰って静かに息をついていたら　いつの間にか日が暮れて　気がついた時は墓場の中,,1,3
1166366565425545216,相田みつを　名言集,@aidamitsuobot,17 時間,毎日毎日の足跡が　おのずから人生の答を出す　きれいな足跡には　きれいな水がたまる,,,2
1166351506817388547,相田みつを　名言集,@aidamitsuobot,18 時間,どうでもいいものは　どうでもいいんだよ　いちばん大事なことに　一番大事ないのちをかけてゆくことだ,,,1
1166343914665598976,相田みつを　名言集,@aidamitsuobot,18 時間,あなたの心がきれいだから　何でもきれいに見えるんだなあ,,,2
1166336393901010944,相田みつを　名言集,@aidamitsuobot,19 時間,強がりなんかいうことないよ　やせがまんなどすることないよ　だれにえんりょなんかいるもんか　声をかぎりに泣くがいい　ただひたすらになけばいい,,,3
1166328814311358464,相田みつを　名言集,@aidamitsuobot,19 時間,弱きもの人間　欲深きもの人間　偽り多きもの人間　そして人間の私,,,4
1166321288203231233,相田みつを　名言集,@aidamitsuobot,20 時間,アノネ　ひとのことじゃないんだよ　じぶんのことだよ,,,1
1166313715441909760,相田みつを　名言集,@aidamitsuobot,20 時間,あれもほしい　これもほしい　ああなりたい　こうなりたい　欲望いっぱいのこの自分　そういう自分の運転手は自分,,,3
1166306190667608065,相田みつを　名言集,@aidamitsuobot,21 時間,あのねぇ　どんなに上手なべんかいをしてもね　べんかいはやっぱり　べんかいなんだよなぁ,,,2
1166298615511306240,相田みつを　名言集,@aidamitsuobot,21 時間,どんなぐちでも気持ちよく聞いてくれる人　その人はあなたにとって大事な観音さまだ,,,3
1166283515446513664,相田みつを　名言集,@aidamitsuobot,22 時間,昨日までの自分を否定し　今日の自分に生きる　今日新たに生まれ変わる,,,2
1166275988784738305,相田みつを　名言集,@aidamitsuobot,23 時間,人里はなれた　谷間の白百合の花は　誰にも見てもらえないのですが　少しのかけ引きもなく　精一杯の美しさで咲いています,,,2
1166268414148505600,相田みつを　名言集,@aidamitsuobot,23 時間,因も変り　縁も変る　なにもかも　みんな変ってゆくんだね　人間関係も変ってゆく世の中　無常だから,,,1
1166253313731387392,相田みつを　名言集,@aidamitsuobot,8月27日,おさいせん　百円玉一つ　ぽんと投げて　手を合わす　おねがいことの多いこと,,,2
