ツイートID,名前,ユーザー名,投稿日,本文,返信数,リツイート数,いいね数
611521452752277504,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月18日,「毎日毎日の足跡が　おのずから人生の答を出す　きれいな足跡には　きれいな水がたまる」 by みつを,,5,8
611504494417850369,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月18日,いくら多くの人に読まれても、ただ読まれるだけじゃ意味が無い。・・・,,,3
610428703068155904,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月15日,人生の的　ふたつあったらまようよな　ひとつならまようことがない　人生の的はひとつがいい #mitsuwo,,,3
610079836267089920,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月14日,「おたがいになぁ　不完全　欠点だらけの　にんげんですがね」 by みつを,,1,4
610064136685228032,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月14日,幸せはいつも・・・,,,1
610040239118094336,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月14日,「子供に一首　どのような道をどのように　歩くともいのちいっぱいにいきてればいいぞ」 by みつを,,,3
609971151180185600,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,アレもコレもほしがるなよ,,1,4
609854307685437440,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,「土の中の水道管　高いビルの下の下水　大事なものは表に出ない」 by みつを,,1,3
609739195452559361,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,「めしを喰って静かに息をついていたら　いつの間にか日が暮れて　気がついた時は墓場の中」 by みつを 感動したらRT！,,,
609723171529359360,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,一生勉強　一生青春 #mitsuwo,,3,2
609707283799355392,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,「おさいせん　百円玉一つ　ぽんと投げて　手を合わす　おねがいことの多いこと」 by みつを 感動したらRT！,,,
609690556206182400,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,願願を持ちましょう　みトイレ用日めくり　ひとりしずか　みつを　相田みつを作品集より,,,
609674034796630016,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月13日,かねが人生のすべてではないが　有れば便利・・・,,,1
609574656438218752,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,外灯というのは　人のためにつけるんだよな　わたしはどれだけ　外灯をつけられるだろうか #mitsuwo,,1,1
609558122806444032,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,尊きものは遺産ではなくて　そのために流された先人の汗である #mitsuwo,,,
609542065463144449,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,アノネ　人間にとって一番大事なものはなにか？そこを原点として考えてゆけば #mitsuwo,,,2
609525602916306945,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,わかってたまるか　人に踏まれてばかりいる　雑草のくるしみが #mitsuwo,,1,6
609359426345041921,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,短歌一首　道　かえりみる　ゆとりなけれどともかくも　いのち生かされ歩みきし道　みつをにんげんだもの　相田みつをより,,,
609343674313392128,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月12日,そのときの出逢いが　人生を根底から変えることがある　よき出逢いを,,3,5
609104370873925632,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月11日,あなたの心がきれいだから・・・,,,
608995295649669121,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月11日,べんかいのうまい人間　あやまりッぷりのいい人間 #mitsuwo,,,
608963284130095104,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月11日,道は一本　単純でまッ直ぐがいい　何かを欲しがると　欲しがったところが曲がる　道は一本まっすぐがいい,,,
608843299021967360,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,他人の物指し　自分のものさし　それぞれ寸法がちがうんだな,,1,1
608826419234373634,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,けれど　けれどで　なにもしない #mitsuwo,,1,3
608625480061702144,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,正直者は　ばかをみる　だからといってうそばかりも通らない　世の中単純じゃねんだよなあ #mitsuwo,,1,1
608608878226345984,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,「どうでもいいものは　どうでもいいんだよ　いちばん大事なことに　一番大事ないのちをかけてゆくことだ」 by みつを,,3,3
608592229884493824,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,枯れたすすきがまだ美しいのは　いのちいっぱい一生けんめいに生きてきたからだ,,1,2
608576235191468033,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,なみだで　あらわれるたびに　まなこがふかくなり　うれいがふかくなる #mitsuwo,,2,
608559700808835072,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,後じゃできねんだよなあ　今のことは　今しかできぬ #mitsuwo,,5,1
608543753423458304,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月10日,ボロは初めに見せておけ　そうすればいつでも天下泰平だ,,1,1
608526857407856640,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,おだてられればいい気になるし　わるくちいわれりゃ腹たつわたし,,,
608510358416859136,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,「にんげんはねぇ　人から点数をつけられるために　この世に生まれてきたのでないんだよ　にんげんがさき点数はあと」 by みつを 感動したらRT！,,,1
608494675721228288,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,人の為と書いて偽りと読むんだよなー,,,1
608478339049742336,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,ぐちをこぼしてゆくんだね　なみだをながしてゆくんだね　だれにも気がねはいらぬから　えんりょしなくていいんですよ　ぐちをこぼしてゆくがいい　なみだをながしてゆくがいい,,,2
608462455417786369,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,子供に一首　どのような道をどのように　歩くともいのちいっぱいにいきてればいいぞ,,,1
608251055948759040,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,あのねぇ　どんなに上手なべんかいをしてもね　べんかいはやっぱり　べんかいなんだよなぁ,,,
608235102766690306,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月9日,人の為と書いて偽りと読むんだよなー #mitsuwo,,1,2
608085150224642048,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,毎日少しずつ　それがなかなかできねんだなあ　みつをにんげんだもの　相田みつをより,,,
608068377618227200,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,うばいあえば足らぬ　分け合えば余まる #mitsuwo,,,3
608051793801691137,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,私の、このヘタな文字、つたない文章も、・・・,,1,
608036202244128768,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,我慢をするんだよ　我慢をするんだよ　悔しいだろうがね　そこを我慢するんだよ #mitsuwo,,,3
608019832647204864,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,やりなおしが　きかねんだなぁ　人生というものは,,4,5
608003039723556864,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,他人の物指し　自分のものさし　それぞれ寸法がちがうんだな #mitsuwo,,2,2
607986860262977536,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,自分の後ろ姿は　自分じゃ見えねんだなあ #mitsuwo,,,
607916681294274560,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,負ける人のおかげで　勝てるんだよな #mitsuwo,,1,1
607900610877194242,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月8日,だれうらむことはない　身から出たさびだなぁ #mitsuwo,,,
607778513534382080,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,あんなにしてやったのに『のに』がつくとぐちが出る　みつをトイレ用日めくり　ひとりしずか　みつを　相田みつを作品集より,,,
607761926253199360,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,あとじゃできねんだよなあ・・・,,,2
607745385084297216,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,自信はなくてうぬぼればかり　はずかしい　はずかしい,,,
607727647854952448,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,やれなかった　やらなかった　どっちかな #mitsuwo,,,
607710853542985729,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,おたがいになぁ　不完全　欠点だらけの　にんげんですがね,,1,
607694213082279936,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月7日,人間はねぇ　自分よりも人のほうがよくなると　おもしろくねんだなぁ　人間のわたし,,,
607347319978065920,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月6日,因も変り　縁も変る　なにもかも　みんな変ってゆくんだね　人間関係も変ってゆく世の中　無常だから #mitsuwo,,2,2
607331944523636736,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月6日,自分の花　名もない草も実をつける　いのちいっぱい自分の花を咲かせて #mitsuwo,1,2,1
607187332324663296,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月6日,「使ったところが強くなる　頭でもからだでも　その反対　使わぬところは」 by みつを 感動したらRT！,,,1
607171303942987776,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月6日,セトモノとセトモノとぶつかりっこするとすぐこわれちゃう・・・,,,
606821733564170241,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月5日,そのときの出逢いが　トイレ用日めくり　ひとりしずか　みつを　相田みつを作品集より,,,
606805390622203904,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月5日,「あなたがそこにただいるだけで　その場の空気が明るくなる　あなたがそこにただいるだけで」 by みつを,,1,3
606634019451584512,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月4日,体験してはじめて身につくんだなぁ #mitsuwo,,1,1
606457477882781696,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月4日,みかんには みかんの味があり りんごには りんごの美しさがある　しあわせは　いつもじぶんのこころが　きめる,,1,2
606441602022703104,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月4日,後じゃできねんだよなあ　今のことは　今しかできぬ,,1,1
606424277735202816,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月4日,気が小さくて臆病で人のこと気になって三日もねむれぬこともある　おだてられればいい気になるし　わるくちいわれりゃ腹立つわたし　物欲色欲名誉欲　人間はねぇ欲望のかたまりだな　人間のわたし #mitsuwo,,2,
606272408396300288,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月3日,生きているうち　はたらけるうち　日のくれぬうち　みつにんげんだもの　相田みつをよりただいるだけで　あなたがそこにただいるだけでその場の空気があかるくなる　あなたがそこにただいるだけでみんなのこころがやすらぐ　そんなあなたにわたしもなりたい　みつをにんげんだもの　相田みつをより,,1,
606255943244869632,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月3日,弱きもの人間　欲深きもの人間　偽り多きもの人間　そして人間の私,,1,
606105783252586496,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月3日,あのねぇ　どんなに上手なべんかいをしてもね　べんかいはやっぱり　べんかいなんだよなぁ #mitsuwo,,,
606089267576631297,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月3日,外灯というのは　人のためにつけるんだよな　わたしはどれだけ　外灯をつけられるだろうか,,,3
606073464944881664,相田みつを☆心に響く詩,@mitsuwo_kokoro,2015年6月3日,考えてばかりいると　日が暮れちゃうよ #mitsuwo,,2,2
