,title,text
0,裸の肖像,逃げも隠れもしないただ裸のままで揺れる胸から落ちる他人の愛の逃げ水が指先に触れて消えていく天使の微笑みが不気味な果実に変わる頃ささやく声に落とされて他人の敷居を汚く跨ぐ触れるもの全て愛に変わるなら何もいらないあなただけ
1,夢見るひと,夢から醒める夢を見るいい夢から醒めたときなら最上級の映画を見た気分映画中毒者同士が内輪で褒めちぎり合うどんなアカデミー賞作品よりも気の利いた娯楽だったと満足する喜劇や冒険活劇だったらもちろんたとえそれが悲劇であったとしてもあの人　変よ近づかない方がいいよそうだねきっと映画館から出てきたばかりなのよ
2,断捨離,断捨離ブームありましたでも私はブームとかじゃなく荷物を背負うのが苦手で物に愛着が持てない…私は100円均一のものも何万円で買ったものも同じなんです…執着するのは嫌いなんですすっきりさっぱりきっぱりと手放したいのですそこにもったいないはない溜め込んで苦しくなるよりこれからの私を信じて手放していくんです重い荷物を背負ったままでは生きづらいのです持っていける荷物は無いのだから…
3,断,柵を断てそれは虚栄であり吐き続けた嘘行く先を見謝ったお前は底にまで転落するまでそれを認められない隣人の笑顔の裏には怒り軈て放つ不退転の意を込めた一矢口先だけの怒りを悔やめ無口だった防人は尖兵へと姿を変える飽き飽きだ 盗人よ文字の消えた証文を抱えて去れもうお前に与えるモノはない憐れみも友愛も。
4,賑救,良し ドロドロと口に流れる トルマリン販売されたレモンの苦しバンドルされた体たちの弓張月アキレス腱が太いよただいまタダ美しい柄のアロハに見栄が月き 今女ホワイト凍える 溶接のように夢夢のままで色ろと云うか 変わらないぜメンタリティーは猫おびかされた銀色俺の蛍紙銀色の雨にうつつ気に入ったスニーカーが部屋にあればくるしむ
5,存在感,ある男は正の存在感で人生を謳歌したある女は負の存在感で人を騙し続けたそれを見た1人の男がいた小さいものほどすぐ失くすからみんなが自分をを失くさないようにとその男は大きくなろうと努力した人生が壊れるほどの秘密だけ隠して何が好きで何が嫌い何があって今の自分があるそんなものをたくさんぶら下げて生きたその男はそれを存在感と呼んだ
6,そこ,落とし穴に落ちた底があるからそこまで落ちた終わりがあるからそこまで落ちたストローの穴を除いた底がないから景色が見えた丸で切り取った景色が見えた穴に底があってもなくても自分が想像していたものがそこにあればそこで終わりだ
7,心を開いて,そんな透き通った瞳で私を見ないでそんな不思議な顔で覗き込まないで幼き日のまぼろしあの頃君が描いていた私にはなれなかったごめんいつからこんなに心が狭くなったのかな困っている人も助けてあげられないような鏡に映った人物は私じゃなかった見て見ぬ振りのヘッドフォンはずしてほら心を開いて
8,恋路,距離感を見誤って道から外れちゃってそんな終わりは迎えたくないから僕は綱渡りをしている慎重になり過ぎてゴールテープを切ったのは顔も名前も知らない誰か僕が綱渡りをしてる間にそいつは走り幅跳びで超えてったらしい残った僕の体と心は宙ぶらりんまた別の綱渡りを始めようか
9,言うんだ。,夏が終われば消える君　終わる恋心臓は　鼓動は脳まで震わす潤んだ大きな瞳に手が届きそうだった実際に届く距離だったけれど堪えて変に笑って誤魔化した走り去る君の小さい背中、手、足もう届かない。伝えたいと思う頃には手を掴んでいた目が合う、今、言うんだ＿＿
10,あなたのこと,あなたがすきですでもあなたといるとわたしではなくなってしまうあなたがすきだからあなたのしあわせがいちばんだからあなたとはいられないあなたのなかではいいひとでいたいわたしだからさようなら
11,Touch,ふれてみたその温もりの中に感じた優しさと切なさいっそこのまま抱き潰してしまおうかそれほどまでに愛しかった
